paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
Randomized Data Structures: New Perspectives and Hidden Surprises,Nearly Optimal List Labeling,William Kuszmaul,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and Michal Koucký and William Kuszmaul and Michael Saks,0.9318
What Does Dynamic Optimality Mean in External Memory?,Tight Bounds and Phase Transitions for Incremental and Dynamic Retrieval,Michael A Bender and Martín Farach-Colton and William Kuszmaul,William Kuszmaul and Aaron Putterman and Tingqiang Xu and Hangrui Zhou and Renfei Zhou,0.9318
Occamnet: A fast neural model for symbolic regression at scale,Deep learning and symbolic regression for discovering parametric equations,Owen Dugan and Rumen Dangovski and Allan Costa and Samuel Kim and Pawan Goyal and Joseph Jacobson and Marin Soljačić,Michael Zhang and Samuel Kim and Peter Y Lu and Marin Soljačić,0.9317
Information-theoretic characterizations of generalization error for the Gibbs algorithm,On the generalization error of meta learning for the Gibbs algorithm,Gholamali Aminian and Yuheng Bu and Laura Toni and Miguel RD Rodrigues and Gregory W Wornell,Yuheng Bu and Harsha Vardhan Tetali and Gholamali Aminian and Miguel Rodrigues and Gregory Wornell,0.9317
AbstractDifferentiation. jl: Backend-agnostic differentiable programming in Julia,Understanding automatic differentiation pitfalls,Frank Schäfer and Mohamed Tarek and Lyndon White and Chris Rackauckas,Jan Hückelheim and Harshitha Menon and William Moses and Bruce Christianson and Paul Hovland and Laurent Hascoët,0.9317
Towards an Analysis of Quadratic Probing,A Nearly Quadratic Improvement for Memory Reallocation,William Kuszmaul and Zoe Xi,Martin Farach-Colton and William Kuszmaul and Nathan S Sheffield and Alek Westover,0.9317
From words to watts: Benchmarking the energy costs of large language model inference,Sprout: Green generative AI with carbon-efficient LLM inference,Siddharth Samsi and Dan Zhao and Joseph McDonald and Baolin Li and Adam Michaleas and Michael Jones and William Bergeron and Jeremy Kepner and Devesh Tiwari and Vijay Gadepally,Baolin Li and Yankai Jiang and Vijay Gadepally and Devesh Tiwari,0.9316
"Great power, great responsibility: Recommendations for reducing energy for training language models",Load balancing and memory optimizations for expert parallel training of large language models,Joseph McDonald and Baolin Li and Nathan Frey and Devesh Tiwari and Vijay Gadepally and Siddharth Samsi,Daniel Wisdom,0.9316
Linear probing revisited: Tombstones mark the demise of primary clustering,Tight Analyses of Ordered and Unordered Linear Probing,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Mark Braverman and William Kuszmaul,0.9316
"Spatial temporal analysis of 40,000,000,000,000 internet darkspace packets",What is Normal? A Big Data Observational Science Model of Anonymized Internet Traffic,Jeremy Kepner and Michael Jones and Daniel Andersen and Aydın Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Chad Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Jeremy Kepner and Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Peter Michaleas,0.9316
"Vertical, temporal, and horizontal scaling of hierarchical hypersparse graphblas matrices",Hypersparse traffic matrix construction using GraphBLAS on a DPU,Jeremy Kepner and Tim Davis and Chansup Byun and William Arcand and David Bestor and William Bergeron and Vijay Gadepally and Michael Houle and Matthew Hubbell and Michael Jones and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Charles Yee and Peter Michaleas,William Bergeron and Michael Jones and Chase Barber and Kale DeYoung and George Amariucai and Kaleb Ernst and Nathan Fleming and Peter Michaleas and Sandeep Pisharody and Nathan Wells and Antonio Rosa and Eugene Vasserman and Jeremy Kepner,0.9316
Modern hashing made simple,Randomized Data Structures: New Perspectives and Hidden Surprises,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul,William Kuszmaul,0.9315
Discovering sparse interpretable dynamics from partial observations,Deep Learning and Symbolic Regression for Discovering Parametric Equations,Peter Y Lu and Joan Ariño Bernad and Marin Soljačić,Samuel Kim and Michael Zhang and Peter Y Lu and Marin Soljacic,0.9314
Fast Reducer Hyperobjects,Brief Announcement: Efficient Access History for Race Detection,Matthew Kilgore,Yifan Xu and Anchengcheng Zhou and Grace Yin and Kunal Agrawal and I Lee and Tao Schardl,0.9314
Certified polyhedral decompositions of collision-free configuration space,Approximating robot configuration spaces with few convex sets using clique covers of visibility graphs,Hongkai Dai and Alexandre Amice and Peter Werner and Annan Zhang and Russ Tedrake,Peter Werner and Alexandre Amice and Tobia Marcucci and Daniela Rus and Russ Tedrake,0.9313
Mathematics of Digital Hyperspace,Algebraic Conditions on One-Step Breadth-First Search,Jeremy Kepner and Timothy Davis and Vijay Gadepally and Hayden Jananthan and Lauren Milechin,Emma Fu and Hayden Jananthan and Jeremy Kepner,0.9313
On the convergence theory of gradient-based model-agnostic meta-learning algorithms,Provably convergent policy gradient methods for model-agnostic meta-reinforcement learning,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,0.9312
"Finding and optimizing certified, collision-free regions in configuration space for robot manipulators",Approximating robot configuration spaces with few convex sets using clique covers of visibility graphs,Alexandre Amice and Hongkai Dai and Peter Werner and Annan Zhang and Russ Tedrake,Peter Werner and Alexandre Amice and Tobia Marcucci and Daniela Rus and Russ Tedrake,0.9312
Iceberg hashing: Optimizing many hash-table criteria at once,Space lower bounds for dynamic filters and value-dynamic retrieval,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,William Kuszmaul and Stefan Walzer,0.9312
Applying Human-Centered Design to AI-Enabled Pilot Scheduling,AI For Leadership: Implementation And Evaluation Of An AI Education Program,Amy L Alexander and Audrey Haque and Michael Snyder and Rachael Kusiak and Brice Okubo and Kathie Chung and Eric Robinson,Aikaterini BAGIATI and Andrés F SALAZAR-GÓMEZ and Annalyn BACHMANN and Kathleen D KENNEDY and Cynthia BREAZEAL,0.9312
Technical Report on Data Integration and Preparation,Technical Report: An Overview of Data Integration and Preparation,Michael Cafarella El Kindi Rezig and Vijay Gadepally,ElKindi Rezig and Mike Cafarella and Vijay Gadepally,0.9312
Closed-form continuous-time neural networks,Locally regularized neural differential equations: Some black boxes were meant to remain closed!,Ramin Hasani and Mathias Lechner and Alexander Amini and Lucas Liebenwein and Aaron Ray and Max Tschaikowski and Gerald Teschl and Daniela Rus,Avik Pal and Alan Edelman and Christopher Vincent Rackauckas,0.9311
Reverse-mode automatic differentiation and optimization of GPU kernels via Enzyme,High-performance gpu-to-cpu transpilation and optimization via high-level parallel constructs,William S Moses and Valentin Churavy and Ludger Paehler and Jan Hückelheim and Sri Hari Krishna Narayanan and Michel Schanen and Johannes Doerfert,William S Moses and Ivan R Ivanov and Jens Domke and Toshio Endo and Johannes Doerfert and Oleksandr Zinenko,0.9311
"Ai-enabling workloads on large-scale gpu-accelerated system: characterization, opportunities, and implications",Sustainable supercomputing for ai: Gpu power capping at hpc scale,Baolin Li and Rohin Arora and Siddharth Samsi and Tirthak Patel and William Arcand and David Bestor and Chansup Byun and Rohan Basu Roy and Bill Bergeron and John Holodnak and Michael Houle and Matthew Hubbell and Michael Jones and Jeremy Kepner and Anna Klein and Peter Michaleas and Joseph McDonald and Lauren Milechin and Julie Mullen and Andrew Prout and Benjamin Price and Albert Reuther and Antonio Rosa and Matthew Weiss and Charles Yee and Daniel Edelman and Allan Vanterpool and Anson Cheng and Vijay Gadepally and Devesh Tiwari,Dan Zhao and Siddharth Samsi and Joseph McDonald and Baolin Li and David Bestor and Michael Jones and Devesh Tiwari and Vijay Gadepally,0.9311
Geosynchronous satellite pattern of life node detection and classification,Python-based tools for characterizing geosynchronous satellite behavior and evaluating maneuver prediction techniques,Haley E Solera and Thomas G Roberts and Richard Linares,Haley Elizabeth Solera,0.9311
Tight bounds for monotone minimal perfect hashing,Tight Bounds for Classical Open Addressing,Sepehr Assadi and Martin Farach-Colton and William Kuszmaul,Michael A Bender and William Kuszmaul and Renfei Zhou,0.931
A metastudy of algorithm lower bounds,Floors and Ceilings in Divide-and-Conquer Recurrences∗,Emily Liu,William Kuszmaul and Charles E Leiserson,0.931
Efficient d-ary Cuckoo Hashing at High Load Factors by Bubbling Up,Tight Bounds and Phase Transitions for Incremental and Dynamic Retrieval,William Kuszmaul and Michael Mitzenmacher,William Kuszmaul and Aaron Putterman and Tingqiang Xu and Hangrui Zhou and Renfei Zhou,0.931
What Does Dynamic Optimality Mean in External Memory?,BP-Tree: Overcoming the Point-Range Operation Tradeoff for In-Memory B⁺-trees,Michael A Bender and Martín Farach-Colton and William Kuszmaul,Amanda Li,0.931
Mosaic pages: Big tlb reach with small pages,Flushing without cascades,Krishnan Gosakan and Jaehyun Han and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martin Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,Michael A Bender and Rathish Das and Martín Farach-Colton and Rob Johnson and William Kuszmaul,0.9309
Continuous deep equilibrium models: Training neural odes faster by integrating them to infinity,TENG: Time-evolving natural gradient for solving PDEs with deep neural nets toward machine precision,Avik Pal and Alan Edelman and Chris Rackauckas,Zhuo Chen and Jacob McCarran and Esteban Vizcaino and Marin Soljačić and Di Luo,0.9309
Incremental edge orientation in forests,What Does Dynamic Optimality Mean in External Memory?,Michael A Bender and Tsvi Kopelowitz and William Kuszmaul and Ely Porat and Clifford Stein,Michael A Bender and Martín Farach-Colton and William Kuszmaul,0.9309
Incremental edge orientation in forests,Nearly Optimal List Labeling,Michael A Bender and Tsvi Kopelowitz and William Kuszmaul and Ely Porat and Clifford Stein,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and Michal Koucký and William Kuszmaul and Michael Saks,0.9309
Continuation Stealing in Julia,Combining Task Parallelism and Multithreaded Concurrency,August Trollback,Sai Sameer Pusapaty,0.9309
Rapid locomotion via reinforcement learning,Robust flight navigation out of distribution with liquid neural networks,Gabriel B Margolis and Ge Yang and Kartik Paigwar and Tao Chen and Pulkit Agrawal,Makram Chahine and Ramin Hasani and Patrick Kao and Aaron Ray and Ryan Shubert and Mathias Lechner and Alexander Amini and Daniela Rus,0.9308
Rapid locomotion via reinforcement learning,Autonomous flight arcade challenge: Single-and multi-agent learning environments for aerial vehicles,Gabriel B Margolis and Ge Yang and Kartik Paigwar and Tao Chen and Pulkit Agrawal,Paul Tylkin and Tsun-Hsuan Wang and Tim Seyde and Kyle Palko and Ross Allen and Alexander Amini and Daniela Rus,0.9308
Closed-form continuous-time neural networks,TENG: Time-evolving natural gradient for solving PDEs with deep neural nets toward machine precision,Ramin Hasani and Mathias Lechner and Alexander Amini and Lucas Liebenwein and Aaron Ray and Max Tschaikowski and Gerald Teschl and Daniela Rus,Zhuo Chen and Jacob McCarran and Esteban Vizcaino and Marin Soljačić and Di Luo,0.9308
Towards practical learned indexing,When Are Learned Models Better Than Hash Functions?(Extended Abstracts),Mihail Stoian and Andreas Kipf and Ryan Marcus and Tim Kraska,Ibrahim Sabek and Kapil Vaidya and Dominik Horn and Andreas Kipf and Tim Kraska,0.9308
Deployment of real-time network traffic analysis using GraphBLAS hypersparse matrices and D4M associative arrays,Mapping of Internet “Coastlines” via Large Scale Anonymized Network Source Correlations,Michael Jones and Jeremy Kepner and Andrew Prout and Timothy Davis and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Lauren Milechin and Guillermo Morales and Julie Mullen and Ritesh Patel and Sandeep Pisharody and Albert Reuther and Antonio Rosa and Siddharth Samsi and Charles Yee and Peter Michaleas,Hayden Jananthan and Jeremy Kepner and Michael Jones and William Arcand and David Bestor and William Bergeron and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Anna Klein and Lauren Milechin and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentl and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Tyler Trigg and Gabriel Wachman and Charles Yee and Peter Michaleas,0.9308
Cache-Efficient Parallel-Partition Algorithms Using Exclusive-Read-and-Write Memory,"Increment-and-freeze: Every cache, everywhere, all of the time",William Kuszmaul and Alek Westover,Michael A Bender and Daniel DeLayo and Bradley C Kuszmaul and William Kuszmaul and Evan West,0.9308
Composing Parallel Runtime Systems: A Case Study in How to Compose the Julia and OpenCilk Runtimes,Provably and Practically Efficient Race Detection for Task-Parallel Code,Tim Kralj,Yifan Xu,0.9308
Rapid locomotion via reinforcement learning,Scalable multi-agent reinforcement learning through intelligent information aggregation,Gabriel B Margolis and Ge Yang and Kartik Paigwar and Tao Chen and Pulkit Agrawal,Siddharth Nayak and Kenneth Choi and Wenqi Ding and Sydney Dolan and Karthik Gopalakrishnan and Hamsa Balakrishnan,0.9307
Iceberg hashing: Optimizing many hash-table criteria at once,Tight bounds for monotone minimal perfect hashing,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Sepehr Assadi and Martin Farach-Colton and William Kuszmaul,0.9307
The data-driven radio frequency signal separation challenge,On neural architectures for deep learning-based source separation of co-channel OFDM signals,Tejas Jayashankar and Binoy Kurien and Alejandro Lancho and Gary CF Lee and Yury Polyanskiy and Amir Weiss and Gregory W Wornell,Gary CF Lee and Amir Weiss and Alejandro Lancho and Yury Polyanskiy and Gregory W Wornell,0.9306
Building heterogeneous cloud system for machine learning inference,Network requirements for distributed machine learning training in the cloud,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,James Salamy,0.9306
Bliss: auto-tuning complex applications using a pool of diverse lightweight learning models,Clover: Toward sustainable ai with carbon-aware machine learning inference service,Rohan Basu Roy and Tirthak Patel and Vijay Gadepally and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9305
Data-driven blind synchronization and interference rejection for digital communication signals,Score-based Source Separation with Applications to Digital Communication Signals,Alejandro Lancho and Amir Weiss and Gary CF Lee and Jennifer Tang and Yuheng Bu and Yury Polyanskiy and Gregory W Wornell,TejasJayashankar GaryC F Lee AlejandroLancho AmirWeiss and Yury Polyanskiy Gregory W Wornell,0.9305
Tight Bounds and Phase Transitions for Incremental and Dynamic Retrieval,Optimal Bounds for Open Addressing Without Reordering,William Kuszmaul and Aaron Putterman and Tingqiang Xu and Hangrui Zhou and Renfei Zhou,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9305
The computational limits of deep learning,Loss curve approximations for fast neural architecture ranking & training elasticity estimation,Neil C Thompson and Kristjan Greenewald and Keeheon Lee and Gabriel F Manso,Dan Zhao and Nathan C Frey and Vijay Gadepally and Siddharth Samsi,0.9304
Tiny pointers,Linear probing revisited: Tombstones mark the death of primary clustering,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,0.9304
Benchmarking resource usage for efficient distributed deep learning,An Analysis of Energy Requirement for Computer Vision Algorithms,Nathan C Frey and Baolin Li and Joseph McDonald and Dan Zhao and Michael Jones and David Bestor and Devesh Tiwari and Vijay Gadepally and Siddharth Samsi,Daniel Edelman and Siddharth Samsi and Joseph McDonald and Adam Michaleas and Vijay Gadepally,0.9304
Strongly history-independent storage allocation: New upper and lower bounds,Linear probing revisited: Tombstones mark the death of primary clustering,William Kuszmaul,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,0.9304
Optimizing Parallel Performance with Work and Span in the OpenCilk Compiler,Combining Task Parallelism and Multithreaded Concurrency,Nikhil Reddy,Sai Sameer Pusapaty,0.9304
Miso: exploiting multi-instance gpu capability on multi-tenant gpu clusters,Optimizing Parallel Performance with Work and Span in the OpenCilk Compiler,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Nikhil Reddy,0.9303
Opencilk: A modular and extensible software infrastructure for fast task-parallel code,High-performance gpu-to-cpu transpilation and optimization via high-level parallel constructs,Tao B Schardl and I-Ting Angelina Lee,William S Moses and Ivan R Ivanov and Jens Domke and Toshio Endo and Johannes Doerfert and Oleksandr Zinenko,0.9303
AbstractDifferentiation. jl: Backend-agnostic differentiable programming in Julia,Transparent checkpointing for automatic differentiation of program loops through expression transformations,Frank Schäfer and Mohamed Tarek and Lyndon White and Chris Rackauckas,Michel Schanen and Sri Hari Krishna Narayanan and Sarah Williamson and Valentin Churavy and William S Moses and Ludger Paehler,0.9303
Toward sustainable hpc: Carbon footprint estimation and environmental implications of hpc systems,EcoLife: Carbon-Aware Serverless Function Scheduling for Sustainable Computing,Baolin Li and Rohan Basu Roy and Daniel Wang and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Yankai Jiang and Rohan Basu Roy and Baolin Li and Devesh Tiwari,0.9302
Differentiable control barrier functions for vision-based end-to-end autonomous driving,Are all vision models created equal? a study of the open-loop to closed-loop causality gap,Wei Xiao and Tsun-Hsuan Wang and Makram Chahine and Alexander Amini and Ramin Hasani and Daniela Rus,Mathias Lechner and Ramin Hasani and Alexander Amini and Tsun-Hsuan Wang and Thomas A Henzinger and Daniela Rus,0.9302
Deep learning for bayesian optimization of scientific problems with high-dimensional structure,Overcoming Data Scarcity in Deep Learning of Scientific Problems,Samuel Kim and Peter Y Lu and Charlotte Loh and Jamie Smith and Jasper Snoek and Marin Soljačić,Charlotte Chang Le Loh,0.9301
Tiny pointers,Nearly Optimal List Labeling,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and Michal Koucký and William Kuszmaul and Michael Saks,0.9301
"Spatial temporal analysis of 40,000,000,000,000 internet darkspace packets",Hypersparse network flow analysis of packets with graphblas,Jeremy Kepner and Michael Jones and Daniel Andersen and Aydın Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Chad Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Tyler Trigg and Chad Meiners and Sandeep Pisharody and Hayden Jananthan and Michael Jones and Adam Michaleas and Timothy Davis and Erik Welch and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Peter Michaleas and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Charles Yee and Jeremy Kepner,0.9301
Tight Analyses of Ordered and Unordered Linear Probing,A Nearly Quadratic Improvement for Memory Reallocation,Mark Braverman and William Kuszmaul,Martin Farach-Colton and William Kuszmaul and Nathan S Sheffield and Alek Westover,0.9301
GlobalSensitivity. jl: Performant and Parallel GlobalSensitivity Analysis with Julia,GlobalSensitivity. jl: Performant and Parallel Global,Vaibhav Kumar Dixit and Christopher Rackauckas,Vaibhav Kumar Dixit and Christopher Rackauckas,0.93
Iceberg hashing: Optimizing many hash-table criteria at once,Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,William Kuszmaul,0.93
Iceberg hashing: Optimizing many hash-table criteria at once,Tight Bounds and Phase Transitions for Incremental and Dynamic Retrieval,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,William Kuszmaul and Aaron Putterman and Tingqiang Xu and Hangrui Zhou and Renfei Zhou,0.93
Can learned models replace hash functions?,Lea: A learned encoding advisor for column stores,Ibrahim Sabek and Kapil Vaidya and Dominik Horn and Andreas Kipf and Michael Mitzenmacher and Tim Kraska,Lujing Cen and Andreas Kipf and Ryan Marcus and Tim Kraska,0.93
Multimodal physiological monitoring during virtual reality piloting tasks,Bio-signal analysis for personalized pilot training,Hrishikesh Rao and Emilie Cowen and Sophia Yuditskaya and Laura Brattain and Jamie Koerner and Gregory Ciccarelli and Ronisha Carter and Vivienne Sze and Tamara Broderick and Hayley Reynolds and Kyle McAlpin and Thomas Heldt,Stuart D Powell,0.93
"A hash table without hash functions, and how to get the most out of your random bits",Optimal Non-Oblivious Open Addressing,William Kuszmaul,Michael A Bender and William Kuszmaul and Renfei Zhou,0.93
Hypersparse network flow analysis of packets with graphblas,Mapping of Internet “Coastlines” via Large Scale Anonymized Network Source Correlations,Tyler Trigg and Chad Meiners and Sandeep Pisharody and Hayden Jananthan and Michael Jones and Adam Michaleas and Timothy Davis and Erik Welch and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Peter Michaleas and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Charles Yee and Jeremy Kepner,Hayden Jananthan and Jeremy Kepner and Michael Jones and William Arcand and David Bestor and William Bergeron and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Anna Klein and Lauren Milechin and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentl and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Tyler Trigg and Gabriel Wachman and Charles Yee and Peter Michaleas,0.93
Efficient d-ary Cuckoo Hashing at High Load Factors by Bubbling Up,Optimal Non-Oblivious Open Addressing,William Kuszmaul and Michael Mitzenmacher,Michael A Bender and William Kuszmaul and Renfei Zhou,0.93
On the convergence theory of gradient-based model-agnostic meta-learning algorithms,"Train simultaneously, generalize better: Stability of gradient-based minimax learners",Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Farzan Farnia and Asuman Ozdaglar,0.9299
"The multiplicative version of azuma's inequality, with an application to contention analysis",A Simple and Combinatorial Approach to Proving Chernoff Bounds and Their Generalizations,William Kuszmaul and Qi Qi,William Kuszmaul,0.9299
"Multi-temporal analysis and scaling relations of 100,000,000,000 network packets",Anonymized Network Sensing Graph Challenge,Jeremy Kepner and Chad Meiners and Chansup Byun and Sarah McGuire and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Raul Harnasch and Matthew Hubbell and Micheal Houle and Micheal Jones and Andrew Kirby and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Hayden Jananthan and Michael Jones and William Arcand and David Bestor and William Bergeron and Daniel Burrill and Aydin Buluc and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Piotr Luszczek and Peter Michaleas and Lauren Milechin and Chasen Milner and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentland and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Gabriel Wachman and Charles Yee and Jeremy Kepner,0.9299
Provably convergent policy gradient methods for model-agnostic meta-reinforcement learning,Redeeming intrinsic rewards via constrained optimization,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Eric Chen and Zhang-Wei Hong and Joni Pajarinen and Pulkit Agrawal,0.9298
Opencilk: A modular and extensible software infrastructure for fast task-parallel code,Continuation Stealing in Julia,Tao B Schardl and I-Ting Angelina Lee,August Trollback,0.9297
Tighter expected generalization error bounds via convexity of information measures,What is a good metric to study generalization of minimax learners?,Gholamali Aminian and Yuheng Bu and Gregory W Wornell and Miguel RD Rodrigues,Asuman Ozdaglar and Sarath Pattathil and Jiawei Zhang and Kaiqing Zhang,0.9297
Cilkmem: Algorithms for analyzing the memory high-water mark of fork-join parallel programs,Improving the Performance of Parallel Loops in OpenCilk,Tim Kaler and William Kuszmaul and Tao B Schardl and Daniele Vettorel,Luka Govedic,0.9297
Randomized Data Structures: New Perspectives and Hidden Surprises,Optimal Non-Oblivious Open Addressing,William Kuszmaul,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9297
Opencilk: A modular and extensible software infrastructure for fast task-parallel code,The Locality-First Strategy for Developing Efficient Multicore Algorithm,Tao B Schardl and I-Ting Angelina Lee,Helen Jiang Xu,0.9296
Iceberg hashing: Optimizing many hash-table criteria at once,Brief announcement: Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,William Kuszmaul,0.9296
Linear probing revisited: Tombstones mark the demise of primary clustering,Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,William Kuszmaul,0.9296
Quantization-aware interval bound propagation for training certifiably robust quantized neural networks,On frank-wolfe adversarial training,Mathias Lechner and Đorđe Žikelić and Krishnendu Chatterjee and Thomas A Henzinger and Daniela Rus,Theodoros Tsiligkaridis and Jay Roberts,0.9296
Treeline: an update-in-place key-value store for modern storage,Brief announcement: Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Geoffrey X Yu and Markos Markakis and Andreas Kipf and Per-Åke Larson and Umar Farooq Minhas and Tim Kraska,William Kuszmaul,0.9295
Achieving optimal backlog in multi-processor cup games,Tight bounds for parallel paging and green paging,Michael A Bender and Martín Farach-Colton and William Kuszmaul,Kunal Agrawal and Michael A Bender and Rathish Das and William Kuszmaul and Enoch Peserico and Michele Scquizzato,0.9295
Cilkmem: Algorithms for analyzing the memory high-water mark of fork-join parallel programs,The Locality-First Strategy for Developing Efficient Multicore Algorithm,Tim Kaler and William Kuszmaul and Tao B Schardl and Daniele Vettorel,Helen Jiang Xu,0.9295
Incremental edge orientation in forests,Optimal Bounds for Open Addressing Without Reordering,Michael A Bender and Tsvi Kopelowitz and William Kuszmaul and Ely Porat and Clifford Stein,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9295
Using Multi-Instance GPU for Efficient Operation of Multi-Tenant GPU Clusters,Optimizing Parallel Performance with Work and Span in the OpenCilk Compiler,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Nikhil Reddy,0.9295
Barriernet: Differentiable control barrier functions for learning of safe robot control,On the forward invariance of neural odes,Wei Xiao and Tsun-Hsuan Wang and Ramin Hasani and Makram Chahine and Alexander Amini and Xiao Li and Daniela Rus,Wei Xiao and Tsun-Hsuan Wang and Ramin Hasani and Mathias Lechner and Yutong Ban and Chuang Gan and Daniela Rus,0.9294
Generalization of model-agnostic meta-learning algorithms: Recurring and unseen tasks,On the generalization error of meta learning for the Gibbs algorithm,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Yuheng Bu and Harsha Vardhan Tetali and Gholamali Aminian and Miguel Rodrigues and Gregory Wornell,0.9294
Towards practical learned indexing,Can learned models replace hash functions?,Mihail Stoian and Andreas Kipf and Ryan Marcus and Tim Kraska,Ibrahim Sabek and Kapil Vaidya and Dominik Horn and Andreas Kipf and Michael Mitzenmacher and Tim Kraska,0.9294
